window_start,window_end,anomaly_score,is_anomaly,mean,std,var,rms,min,max,ptp,median,mad,skew,kurtosis,zero_crossing_rate,crest_factor,dominant_freq,main_peak_power,spectral_centroid,spectral_bandwidth,spectral_rolloff_85,spectral_entropy,peak_ratio,band_energy_0_5.55556e-05hz,band_energy_5.55556e-05_0.000166667hz,band_energy_0.000166667_0.000555556hz,thd,autocorr_lag1,trend_slope
12624,12720,-0.11723012241519243,False,22.91130208333333,15.717806959811975,247.04945562591377,27.738128757186043,7.140000000000001,49.85,42.71,14.748333333333333,7.1083333333333325,0.3922049177231812,-1.5965473147236338,0.042105263157894736,1.7971652102553493,1.1574074074074073e-05,14285757.776507571,2.0006417414973108e-05,3.8343498532821465e-05,2.3148148148148147e-05,0.30056651314763133,0.6158056831272867,0.9715504161799763,0.018208714142247714,0.010129698022149441,0.0,0.9705906095192349,-0.0003429167545869252
12672,12768,0.013456967280454979,True,9.736475694444445,5.687244524792577,32.344750284783146,11.260851866140385,7.330000000000001,40.406666666666666,33.07666666666667,8.14,0.3350000000000004,3.798061461604893,14.322110849220387,0.031578947368421054,3.588242447994506,0.0,137726.97348164243,2.08404423825697e-05,7.757390807381289e-05,1.1574074074074073e-05,0.26716168175198535,0.5974622372756291,0.9478314549069801,0.012610010729789527,0.03832994854946114,0.0,0.8169897369565198,-0.00010772029048853502
12720,12816,-0.05715648157226927,False,8.022777777777778,0.37985705734604236,0.14429138401559452,8.031671782410582,7.183333333333334,9.126666666666667,1.9433333333333334,7.996666666666667,0.23666666666666591,0.36594409830995916,0.035247659869724224,0.47368421052631576,1.1363346154972362,0.0001388888888888889,1120.4456072533249,0.0003145924169746171,0.00016989216248135356,0.0005324074074074073,0.8869906877045755,0.07903296993393097,0.05532099164226207,0.23901913470583092,0.6721494662142633,0.0,-0.12151164319689374,-1.1065894977993819e-06
12768,12864,-0.06523337971684112,False,8.046979166666667,0.4166280903195017,0.17357896564327485,8.057645100163272,7.183333333333334,9.126666666666667,1.9433333333333334,8.02,0.26333333333333364,0.4479089110577389,0.09616872347622163,0.5052631578947369,1.1326717115501401,0.0004398148148148148,1369.4782119487613,0.0002831595057140768,0.00014991868033729748,0.0004398148148148148,0.8643974887588921,0.14118478836562598,0.054592320897216086,0.26916998473192116,0.6624973739444716,0.0,-0.14647746422205088,5.726623259179674e-07
12816,12912,-0.06463995792233995,False,8.170833333333334,0.45924932391944556,0.21090994152046785,8.183595195516093,7.260000000000001,9.806666666666667,2.546666666666666,8.121666666666666,0.21333333333333382,0.9280317693990313,1.3543018800643303,0.5052631578947369,1.1983323261197816,0.0004398148148148148,2293.558697754862,0.0003014701002497118,0.00015692121795096326,0.00045138888888888887,0.8645064090638035,0.11789287985731338,0.07334161151106836,0.17533208987199764,0.7508779160475993,0.0,-0.13759541640787204,3.6066397379474347e-06
12864,12960,-0.003950834479618859,False,8.590277777777779,1.1651986419678255,1.3576878752436647,8.668126533028495,6.1866666666666665,13.62,7.433333333333333,8.323333333333334,0.40500000000000114,2.1159757159963863,6.691797650835111,0.35789473684210527,1.571273786567561,1.1574074074074073e-05,3601.1923058692146,0.00026177354558739165,0.00019172377179188125,0.0005092592592592592,0.8855505671028587,0.10302541948217304,0.19142948063297774,0.21938062328728758,0.5546312282725673,0.0,0.5830749935424132,1.565533248929893e-05
12912,13008,0.023932734710397252,True,8.703715277777777,1.1767972065943828,1.3848516654483427,8.782088918013121,6.1866666666666665,13.62,7.433333333333333,8.406666666666666,0.45166666666666666,1.8664531328950682,5.588419443133969,0.3894736842105263,1.5508838645509713,8.101851851851852e-05,23797.07167776439,0.0001474069518493859,0.00012229020826158777,0.00028935185185185184,0.7960561227356873,0.11950857926445226,0.09727738468939921,0.5978083442724819,0.30490267234471,0.0,0.5181010901591202,-4.871259620988151e-06
12960,13056,-0.07711563048220166,False,21.56923611111111,16.0075798747162,256.2426134454191,26.81054579773083,7.626666666666666,52.1,44.473333333333336,9.736666666666666,1.9516666666666662,0.5949753510198679,-1.4561700324232618,0.031578947368421054,1.9432651760639525,1.1574074074074073e-05,9936831.913309824,1.874861566179607e-05,4.001423219842052e-05,2.3148148148148147e-05,0.2510658960614479,0.6960864534429901,0.9839385851497575,0.004276894468278777,0.011266065512803566,0.0,0.96913538814433,0.0005604764273226019
13008,13104,-0.10159682229143568,False,22.91263888888889,16.381771597793115,268.3624406822612,28.116828047353497,5.493333333333333,52.1,46.60666666666667,17.986666666666665,11.744999999999997,0.3306787412303215,-1.607786810101968,0.042105263157894736,1.8529828440197071,1.1574074074074073e-05,15719749.639329318,2.2189034277380983e-05,4.4137211742570615e-05,2.3148148148148147e-05,0.32543991912283937,0.5994464448149386,0.9623132517959568,0.022102201436558423,0.015427356250764787,0.0,0.9693487710848978,-0.00036408281585980935
13056,13152,-0.12166683766162345,False,22.20487847222222,15.567782395953689,242.35584872776556,27.071903084249715,5.493333333333333,48.9,43.406666666666666,18.77166666666667,12.413333333333336,0.29842023774748255,-1.6085354936374714,0.042105263157894736,1.8063007926638135,1.1574074074074073e-05,11183130.857503936,1.877299140223291e-05,4.076637227373529e-05,2.3148148148148147e-05,0.2771427978121841,0.6794494527538291,0.9713786170281986,0.013776903219732243,0.014839068147642234,0.0,0.962355824960883,0.00041657634744076696
