start_index,matrix_profile,nearest_neighbor_index
425,2.24466077616057,617
426,2.2248620253778486,618
427,2.2266855147803524,619
428,2.196788515452283,620
429,2.179286675350671,621
430,2.1780258225680322,622
431,2.176950183308263,623
432,2.1743414205433456,624
433,2.1729423653955027,625
434,2.176838046345128,626
435,2.2424913952638503,627
436,2.410881009585625,628
437,2.5697543083858205,629
438,2.5930036791432145,246
439,2.5223150472004017,3033
440,2.5705409628833733,2555
441,2.591053721519322,537
442,2.654978566065982,539
443,2.721958396598688,347
444,2.626979654618681,348
445,2.6094745618817123,349
446,2.646703550368906,350
447,2.6129662192197545,351
448,2.5638363198971956,352
449,2.606842368598014,546
450,2.571626468893782,547
451,2.5987211553301255,548
452,2.613543753293867,549
453,2.6524502472887965,550
454,2.675323397916751,551
455,2.6764130663007695,552
456,2.659706534230062,553
457,2.6635719840623127,554
458,2.6864266850937106,555
459,2.7143778838397665,556
460,2.714134829437807,557
461,2.6900963855525126,558
462,2.699782925868253,559
463,2.6744712902710273,560
464,2.62760793463614,561
465,2.6562493328873353,562
466,2.5913823054541587,563
467,2.6347300526745316,564
468,2.6306241206589918,565
469,2.6857639113343215,373
470,2.635587250697911,374
471,2.611797992696206,375
472,2.6183638115262617,376
473,2.61692217527216,377
474,2.61445086189139,378
475,2.622003442975261,2875
476,2.581662978781917,380
477,2.5792036266126233,381
478,2.568946110501267,382
479,2.5684324024160827,383
480,2.567840410203666,384
481,2.5664194947640993,385
482,2.5650493174766753,386
483,2.5290366704335554,387
484,2.530247117544182,388
485,2.5259303745949384,389
486,2.523041116040736,390
487,2.521357383107659,391
488,2.5163257452399455,392
489,2.5159763338286285,393
490,2.5005666148812042,394
491,2.509022291659841,395
492,2.5210393657469847,396
493,2.5173437402768832,397
494,2.5115089219152544,398
495,2.512969854231611,399
496,2.500415038727553,400
497,2.5002100236829103,401
498,2.505013572757211,402
499,2.526029063284213,403
500,2.5232085876107813,404
501,2.5204360360930917,405
502,2.5157215716386268,406
503,2.5149412327373377,407
504,2.5284740191215542,408
505,2.546489585401584,409
506,2.5432397899006816,410
507,2.534126062201956,411
508,2.5623059065596685,412
509,2.5242286547739345,413
510,2.5413663839026026,414
511,2.5421466588256068,415
512,2.536292019743672,416
513,2.528983811681822,417
514,2.5281824133541915,418
515,2.497841960418621,419
516,2.4972437682861086,420
517,2.5085989884969186,421
518,2.5330912269352988,422
519,2.5453444952013826,423
520,2.579054523579608,424
521,2.5756398839165042,425
522,2.598553692365246,426
523,2.5967961301668203,427
524,2.583700027780535,428
525,2.5914212237421967,429
526,2.5895410205937677,430
527,2.586564179098488,431
528,2.5710522756806404,432
529,2.5688014733796094,433
530,2.577016704107038,434
531,2.572436537688564,435
532,2.5707799077576485,436
533,2.6012001925799324,437
534,2.6004547698214027,438
535,2.607484772711032,439
536,2.618985993858246,440
537,2.591053721519322,441
538,2.5859043630428427,3131
539,2.494362030644861,347
540,2.4939951683848993,348
541,2.5217037390414694,349
542,2.5601873001949653,3135
543,2.575319050668549,256
544,2.562031117547797,3040
545,2.3031182367386895,3042
546,2.3085434116706476,3043
547,2.288016595737277,3044
548,2.3912469791022377,3044
549,2.4280555543724027,358
550,2.426249900961467,359
551,2.455500294660168,360
552,2.4671911858777804,361
553,2.4636376038910877,362
554,2.46903477353883,363
